city,entity,n,r2,rmse,mae,mape_pct,saved,model_path,best_params,train_seconds,train_hms
Kota Bogor,kota_bogor,2009,0.9711685818009536,31.36499861893233,20.155169815877322,0.09302412371795593,True,C:\Users\ASUS\skripsi_carin\models\kota_bogor_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",84.52121139999986,0:01:25
Kota Bontang,kota_bontang,2009,0.9924671693329952,39.24029408733557,13.246180343631245,0.06487706166612973,True,C:\Users\ASUS\skripsi_carin\models\kota_bontang_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",81.12619130000007,0:01:21
Kab. Boyolali,kab._boyolali,2009,0.9781145062861479,58.94388205247948,21.095086970150824,0.11425902915013404,True,C:\Users\ASUS\skripsi_carin\models\kab._boyolali_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",88.25629209999988,0:01:28
Kab. Bulukomba,kab._bulukomba,2009,0.9702415249868703,57.10271978252976,17.878457915484855,0.09239750219309248,True,C:\Users\ASUS\skripsi_carin\models\kab._bulukomba_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",72.01807090000011,0:01:12
Kab. Bulungan,kab._bulungan,2009,0.9269174538027485,101.06110953776825,29.424192860284467,0.1407375707491092,True,C:\Users\ASUS\skripsi_carin\models\kab._bulungan_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",68.8947442000001,0:01:09
Kab. Bungo,kab._bungo,2009,0.9410022714684932,29.409404507458234,10.521053617793465,0.050959250872950626,True,C:\Users\ASUS\skripsi_carin\models\kab._bungo_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",75.45452380000006,0:01:15
Kab. Cilacap,kab._cilacap,2009,0.9405348153758631,70.82951193349565,46.47024619984285,0.22142809150702977,True,C:\Users\ASUS\skripsi_carin\models\kab._cilacap_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",82.72532819999992,0:01:23
Kota Cilegon,kota_cilegon,2009,0.9711033279844582,55.400049455175605,14.610667421813579,0.07724375070890484,True,C:\Users\ASUS\skripsi_carin\models\kota_cilegon_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 600, ""random_state"": 42, ""subsample"": 1.0}",76.04188649999992,0:01:16
Kota Cirebon,kota_cirebon,2009,0.9119380476055134,52.31174223589704,38.72989292932901,0.1899091169419734,True,C:\Users\ASUS\skripsi_carin\models\kota_cirebon_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",78.86984469999993,0:01:19
Kab. Cirebon,kab._cirebon,2009,0.9581324854049714,47.943321609648486,37.19873454420679,0.18211514002144166,True,C:\Users\ASUS\skripsi_carin\models\kab._cirebon_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",79.49974420000012,0:01:19
Kota Denpasar,kota_denpasar,2009,-1.422787709457717,570.101941278723,290.5519951544423,1.3106748699131796,False,,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",76.04982159999986,0:01:16
Kota Depok,kota_depok,2009,0.8947235566380841,43.80996501778529,41.12658446619672,0.19789290532865414,True,C:\Users\ASUS\skripsi_carin\models\kota_depok_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",77.19825930000002,0:01:17
Kota Dumai,kota_dumai,2009,0.9699779886232932,39.2000656598544,11.650438306879915,0.05910345874121245,True,C:\Users\ASUS\skripsi_carin\models\kota_dumai_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",73.33487070000001,0:01:13
Kota Gorontalo,kota_gorontalo,2009,0.9141510985858665,108.29059953141177,43.14540845661989,0.16432439593445722,True,C:\Users\ASUS\skripsi_carin\models\kota_gorontalo_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",80.35071920000019,0:01:20
Kab. Gorontalo,kab._gorontalo,2009,0.965407499654075,69.72166887783963,14.444444444444445,0.05876874695487615,True,C:\Users\ASUS\skripsi_carin\models\kab._gorontalo_gbm_delta.pack.joblib,"{""learning_rate"": 0.03, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",33.183588899999904,0:00:33
